Candidate,Configuration,K,Mean_ARI,Median_ARI,Minimum_ARI,Maximum_ARI,ARI_Standard_Deviation
KMeans_Core_Log_Standard_k3,Core_Log_StandardScaler,3,0.9736466750362248,0.9846489821555355,0.8881931477489893,0.9969426666861956,0.028988468299620675
KMeans_Enhanced_Log_Robust_k5,Enhanced_Log_RobustScaler,5,0.9633087485222384,0.9705379526448399,0.8200344952802269,0.988529682805036,0.031165062994247174
KMeans_Core_Log_Standard_k4,Core_Log_StandardScaler,4,0.9432103015821733,0.9511803239588372,0.7708364003275868,0.9919883115925872,0.04283445669097598
KMeans_Core_Log_Standard_k5,Core_Log_StandardScaler,5,0.9307901153394137,0.9348002039754806,0.8184112077826706,0.987318121925336,0.04587265764558345
KMeans_Core_Log_Robust_k4,Core_Log_RobustScaler,4,0.9261763366823064,0.9284361692823888,0.8407352304986188,0.9914558913365951,0.03326925305788467
