Candidate,Algorithm,Configuration,K,Mean_ARI,Minimum_ARI,ARI_Standard_Deviation
GMM_Core_Log_Robust_k3,GaussianMixture,Core_Log_RobustScaler,3,0.9986647038605077,0.9885615821888285,0.003600504923781615
GMM_Core_Log_Standard_k3,GaussianMixture,Core_Log_StandardScaler,3,0.9972220093873088,0.9954800216561995,0.0017231656630849455
KMeans_Enhanced_Log_Robust_k5,KMeans,Enhanced_Log_RobustScaler,5,0.9956785919897317,0.9880561219172405,0.004411714861920749
KMeans_Core_Log_Standard_k3,KMeans,Core_Log_StandardScaler,3,0.9955730811898593,0.9881581045560888,0.004022909699896048
KMeans_Core_Log_Robust_k3,KMeans,Core_Log_RobustScaler,3,0.9927430316119038,0.9765788609695967,0.008613933517122283
KMeans_Core_Log_Standard_k5,KMeans,Core_Log_StandardScaler,5,0.9854896398322446,0.9804876160924219,0.006120989465584687
KMeans_Core_Log_Standard_k4,KMeans,Core_Log_StandardScaler,4,0.9808034547388141,0.9463331225273396,0.020646399349364016
KMeans_Core_Log_Robust_k4,KMeans,Core_Log_RobustScaler,4,0.9635519001367907,0.9192757386148616,0.027228883028369094
