Experiment_ID,Algorithm,Configuration,Feature_Set,Scaler,K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Smallest_Cluster_Percentage,Largest_Cluster_Percentage,Noise_Percentage,BIC,Min_Samples,Distance_Quantile,Epsilon
KMeans_Core_Raw_StandardScaler_k2,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,2,9007.996962939276,0.9065801284054877,0.7435038675948659,1920.7401187779135,0.5768343331795108,99.4231656668205,0.0,,,,
KMeans_Core_Raw_StandardScaler_k3,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,3,5434.756894749109,0.597875346499917,0.7095352544115651,3015.1974157764575,0.5768343331795108,74.31933548684817,0.0,,,,
KMeans_Core_Raw_StandardScaler_k4,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,4,4100.1973919115435,0.6137998676485804,0.7554065042678775,3133.5731436621627,0.29995385325334567,70.60452238117213,0.0,,,,
KMeans_Core_Raw_StandardScaler_k5,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,5,3094.307994949831,0.6134878594930131,0.7095271047625455,3465.267876443824,0.1384402399630826,69.95846792801107,0.0,,,,
KMeans_Core_Raw_StandardScaler_k6,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,6,2456.5036803474536,0.5946595928886266,0.6437209330799184,3715.924257438983,0.0692201199815413,67.21273650207661,0.0,,,,
KMeans_Core_Raw_StandardScaler_k7,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,7,2006.495588714861,0.5113646219340549,0.6488416072587364,3951.960477363396,0.0692201199815413,59.713890170742964,0.0,,,,
KMeans_Core_Raw_StandardScaler_k8,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,8,1701.6194183505497,0.4865792852593696,0.6898983385530228,4104.112731022494,0.046146746654360866,49.90770650669128,0.0,,,,
KMeans_Core_Raw_StandardScaler_k9,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,9,1436.35572076759,0.47307992037191887,0.6933956594684566,4353.153155625396,0.046146746654360866,49.93077988001846,0.0,,,,
KMeans_Core_Raw_StandardScaler_k10,KMeans,Core_Raw_StandardScaler,Core_Raw,StandardScaler,10,1264.1569655605156,0.47959806524988835,0.6820779142902228,4461.01787853446,0.046146746654360866,49.630826026765114,0.0,,,,
KMeans_Core_Raw_RobustScaler_k2,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,2,81661.8446861413,0.9789891301033042,0.36700328275205296,6995.06039305215,0.18458698661744347,99.81541301338255,0.0,,,,
KMeans_Core_Raw_RobustScaler_k3,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,3,44736.083145592376,0.9461627608046395,0.4812700648986854,8170.397299501954,0.11536686663590216,99.21550530687585,0.0,,,,
KMeans_Core_Raw_RobustScaler_k4,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,4,32866.78378868505,0.7465976759331394,0.6016440014354036,7933.525719621532,0.09229349330872173,93.23950161513613,0.0,,,,
KMeans_Core_Raw_RobustScaler_k5,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,5,22557.878984705585,0.7364782976907681,0.5779379833243221,9161.932014405236,0.046146746654360866,92.59344716197508,0.0,,,,
KMeans_Core_Raw_RobustScaler_k6,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,6,18596.30405134074,0.6460433628299357,0.6290478936624438,9073.312835185669,0.046146746654360866,88.4402399630826,0.0,,,,
KMeans_Core_Raw_RobustScaler_k7,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,7,15968.414823384714,0.5771015159108386,0.633788729239839,8922.105655762338,0.046146746654360866,83.91785879095524,0.0,,,,
KMeans_Core_Raw_RobustScaler_k8,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,8,13495.3869742151,0.5205998195125237,0.718851169969984,9160.026122830724,0.046146746654360866,77.87263497923396,0.0,,,,
KMeans_Core_Raw_RobustScaler_k9,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,9,11499.519129996148,0.47132327523006884,0.7004842001442777,9498.072838491531,0.046146746654360866,57.49884633133364,0.0,,,,
KMeans_Core_Raw_RobustScaler_k10,KMeans,Core_Raw_RobustScaler,Core_Raw,RobustScaler,10,9379.298377606638,0.4651216248329557,0.6501930376986957,10457.459341515398,0.046146746654360866,57.98338717120443,0.0,,,,
KMeans_Core_Log_StandardScaler_k2,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,2,6469.806360408262,0.4321189671530916,0.8903830722685531,4373.792977323545,38.34794646977388,61.65205353022611,0.0,,,,
KMeans_Core_Log_StandardScaler_k3,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,3,4850.075070725838,0.3392027561737615,1.041102648206632,3639.783209514571,17.420396862021228,43.14720812182741,0.0,,,,
KMeans_Core_Log_StandardScaler_k4,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,4,3918.8186228727955,0.32966874781926087,1.017678295958061,3345.4450450078975,16.128287955699122,36.871250576834335,0.0,,,,
KMeans_Core_Log_StandardScaler_k5,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,5,3262.3831795809115,0.3187641079537654,0.9829425568489067,3230.9934549541485,8.260267651130595,26.211352099676972,0.0,,,,
KMeans_Core_Log_StandardScaler_k6,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,6,2835.922146258685,0.3162784701380965,1.013750741645089,3102.9772553736193,7.821873557914167,22.058144900784495,0.0,,,,
KMeans_Core_Log_StandardScaler_k7,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,7,2528.0286115566637,0.30710079390457984,0.9891827920012408,2987.9241990465453,4.960775265343793,20.004614674665437,0.0,,,,
KMeans_Core_Log_StandardScaler_k8,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,8,2326.661814724365,0.3070081250322194,1.0149860915488793,2835.596315104867,4.26857406552838,19.17397323488694,0.0,,,,
KMeans_Core_Log_StandardScaler_k9,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,9,2146.571253862615,0.2855459410344425,1.0214932101371057,2733.999440865889,4.8684817720350715,15.366866635902168,0.0,,,,
KMeans_Core_Log_StandardScaler_k10,KMeans,Core_Log_StandardScaler,Core_Log,StandardScaler,10,1987.6813535262938,0.2720716678737343,1.027582383935148,2662.2988411164342,2.238117212736502,14.605445316105214,0.0,,,,
KMeans_Core_Log_RobustScaler_k2,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,2,2931.735488339367,0.431068717198219,0.8882263419456773,4388.744718135008,39.340101522842644,60.659898477157356,0.0,,,,
KMeans_Core_Log_RobustScaler_k3,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,3,2200.180836664693,0.3389497674227743,1.0407623659716518,3643.348607493816,17.974157821873558,42.17812644208583,0.0,,,,
KMeans_Core_Log_RobustScaler_k4,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,4,1794.9712545050038,0.32862276419054476,1.0173044425713031,3302.352091912754,17.281956622058146,34.91001384402399,0.0,,,,
KMeans_Core_Log_RobustScaler_k5,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,5,1490.8904213558399,0.31260670818407016,0.9968746401573924,3201.975976300007,8.837101984310106,25.61144439317028,0.0,,,,
KMeans_Core_Log_RobustScaler_k6,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,6,1297.5289526198821,0.3128427380465326,1.020311237580323,3071.673549744309,7.821873557914167,22.081218274111674,0.0,,,,
KMeans_Core_Log_RobustScaler_k7,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,7,1156.9199647120831,0.301190543029583,0.9817886164422296,2957.7810031430768,4.453161052145823,20.004614674665437,0.0,,,,
KMeans_Core_Log_RobustScaler_k8,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,8,1059.747408669908,0.28486027605621084,1.0028764873772273,2823.759517035992,3.4379326257498843,17.743424088601753,0.0,,,,
