Cluster,Segment,Customers,Invoices,Practical_Rules,Unique_Antecedents,Unique_Consequents,Median_Support_Count,Median_Support,Median_Confidence,Median_Lift,Maximum_Confidence,Maximum_Lift
1,Hibernating Low Value,1136,1365,19,12,9,30.0,0.02197802197802198,0.6944444444444445,12.77027027027027,0.925925925925926,25.793650793650798
2,Recent Low Engagement,869,1364,26,22,19,31.5,0.02309384164222874,0.5702797202797203,12.921788940295219,0.8974358974358976,26.332046332046332
3,At Risk Regular,1006,3073,550,300,192,37.0,0.012040351448096323,0.585960591133005,18.83312850918935,1.0,72.67229729729729
4,Loyal High Value,965,5417,839,334,182,69.0,0.012737677681373454,0.5585585585585585,10.716496764883862,0.9836065573770493,70.0420226275687
5,Champions,358,7183,927,347,137,91.0,0.012668801336488933,0.5513307984790875,9.406536005414788,0.9375,53.81352627257799
